조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,통영대전중부선,207.7,211.9,1999,4,34826,1393,3982,2470,1432,627,448,75,7,240,14,94
2019,통영대전중부선,211.9,215.3,1999,4,37713,1463,3878,2488,1568,592,490,80,3,273,16,54
2019,통영대전중부선,247.4,253.4,1987,4,42390,1906,6708,5958,5014,1427,1146,242,16,1107,37,147
2019,통영대전중부선,253.4,260.8,1987,4,46038,2095,7241,6563,5705,1572,1279,254,16,1261,41,167
2019,통영대전중부선,260.8,264.3,1987,4,49008,1544,5468,4515,3551,1049,799,186,10,756,30,116
2019,통영대전중부선,264.3,269.2,1987,4,47479,2082,7585,6425,5339,1601,1201,260,20,965,39,191
2019,통영대전중부선,269.2,281.2,1987,4,44162,2099,9317,7549,5222,1399,1066,230,18,1088,27,174
2019,통영대전중부선,281.2,289.7,1987,4,44774,1187,3852,2992,2204,795,478,96,8,407,19,82
2019,통영대전중부선,289.7,293.9,1987,4,34090,1592,7114,5860,4091,1093,842,185,6,856,16,134
2019,통영대전중부선,293.9,298.6,1987,4,31802,1465,6580,5515,3894,1029,793,167,5,812,16,124
2019,통영대전중부선,298.6,306.8,1987,4,33656,1547,6917,5836,4112,1087,834,189,8,854,17,130
2019,통영대전중부선,306.8,317.5,1987,4,40163,1825,8302,6704,4431,1261,958,206,12,919,20,142
2019,통영대전중부선,317.5,323.5,1987,4,39055,1785,8260,6463,4250,1210,926,199,11,900,17,138
2019,통영대전중부선,323.5,325.9,1987,8,52679,2445,13803,9713,5447,1410,991,241,14,1044,14,194
2019,통영대전중부선,325.9,329.2,1987,4,22345,1008,8304,4018,1979,424,208,93,8,308,4,41
2019,통영대전중부선,329.2,339.9,1987,4,23411,1433,6192,4626,2075,491,219,102,3,319,18,34
2019,통영대전중부선,339.9,343,1987,4,28153,1179,5682,3633,1330,318,116,31,0,53,6,12
